n	x	y	
638	-73.9739815	40.7829879	;
639	-73.973968	40.762967	;
640	-73.9738864	40.757137	;
641	-73.9737663	40.7603636	;
642	-73.9737244	40.7945858	;
643	-73.9736421	40.7463202	;
644	-73.9736247	40.7645771	;
645	-73.9736027	40.7504178	;
646	-73.9735549	40.7948043	;
647	-73.973512	40.743782	;
648	-73.9732066	40.7952534	;
649	-73.9730967	40.7389627	;
650	-73.973015	40.764279	;
651	-73.9730148	40.7526822	;
652	-73.9730055	40.795531	;
653	-73.9728566	40.7951057	;
654	-73.97282	40.75587	;
655	-73.9727178	40.7591042	;
656	-73.9727152	40.7959319	;
657	-73.9725638	40.7450799	;
658	-73.9725578	40.7533082	;
659	-73.972553	40.764898	;
660	-73.9725427	40.7433795	;
661	-73.9725069	40.7590185	;
662	-73.9724164	40.794038	;
663	-73.972362	40.756498	;
664	-73.9723599	40.7622894	;
665	-73.9722786	40.7822679	;
666	-73.9722702	40.7597285	;
667	-73.9722601	40.7948539	;
668	-73.9722363	40.7688549	;
669	-73.9722049	40.7498286	;
670	-73.9721756	40.7864873	;
671	-73.9721195	40.7456771	;
672	-73.9720776	40.7431864	;
673	-73.972053	40.7596371	;
674	-73.9719192	40.7947101	;
675	-73.9717336	40.7820374	;
676	-73.971682	40.7946106	;
677	-73.9716634	40.7282996	;
678	-73.9716438	40.7438525	;
679	-73.9716142	40.7809228	;
680	-73.9714247	40.7861728	;
681	-73.9714037	40.7635979	;
682	-73.971385	40.7815938	;
683	-73.9713381	40.7441991	;
684	-73.9713051	40.7443489	;
685	-73.9712566	40.7827173	;
686	-73.9712517	40.7800813	;
687	-73.971232	40.794419	;
688	-73.9712265	40.795291	;
689	-73.9711868	40.7551832	;
690	-73.9709918	40.7583747	;
691	-73.9709542	40.7642198	;
692	-73.9709376	40.7451712	;
693	-73.9708574	40.7616646	;
694	-73.970804	40.751748	;
695	-73.9707975	40.7797899	;
696	-73.9707298	40.7558152	;
697	-73.9706375	40.7615719	;
698	-73.9705724	40.7478219	;
699	-73.970533	40.7590024	;
700	-73.9705037	40.7480011	;
701	-73.9704055	40.747966	;
702	-73.970364	40.7940493	;
703	-73.970341	40.752379	;
704	-73.970281	40.768025	;
705	-73.9699868	40.7489049	;
706	-73.9699023	40.7629704	;
707	-73.969825	40.768646	;
708	-73.9697137	40.7854561	;
709	-73.9696886	40.7487808	;
710	-73.9696806	40.7628767	;
711	-73.9694382	40.7635824	;
712	-73.9693638	40.7576902	;
713	-73.9693488	40.7853033	;
714	-73.9692158	40.7634881	;
715	-73.9691318	40.7609292	;
716	-73.968978	40.754251	;
717	-73.9689058	40.7583202	;
718	-73.9688366	40.7850839	;
719	-73.9686697	40.7673451	;
720	-73.96864	40.7474459	;
721	-73.9685615	40.8016434	;
722	-73.96852	40.754877	;
723	-73.9683941	40.7507465	;
724	-73.9682358	40.7479456	;
725	-73.9682154	40.7679674	;
726	-73.9681807	40.7622356	;
727	-73.9681143	40.8057097	;
728	-73.9681141	40.801452	;
729	-73.9680127	40.804723	;
730	-73.9679942	40.8014007	;
731	-73.9679139	40.7596754	;
732	-73.9678549	40.7515409	;
733	-73.9678102	40.802787	;
734	-73.9677887	40.8013053	;
735	-73.9677091	40.7628662	;
736	-73.9675422	40.7602626	;
737	-73.9675289	40.7928581	;
738	-73.9674796	40.7602333	;
